Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;438206;list('adj',''), list('red',c(800,750,1)), list('snv',''), list('sder',c(2,3,15));0.2139;205.885;0.2193;204.0383;1.1511
2;566371;list('adj',''), list('red',c(1,1400,1)), list('snv',''), list('sder',c(2,3,15));0.1828;217.9996;0.2298;163.0444;1.159
3;625544;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));0.1778;212.6267;0.3798;173.3607;1.2915
4;775273;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.2829;197.9224;-0.0187;224.0277;1.0077
5;417529;list('adj',''), list('red',c(950,650,1)), list('snv',''), list('sder',c(2,3,15));0.2544;207.0116;-0.3903;220.8551;0.8626
6;855640;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));0.2168;207.59;0.2369;187.8391;1.1643
7;875829;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.2436;199.0252;0.1342;228.1567;1.0931
8;304023;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,15));0.1887;216.019;-0.0516;198.0231;0.9918
9;877854;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.2311;205.4721;-0.0449;215.2908;0.995
10;988695;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.1761;216.5254;0.0673;193.5556;1.0532
