Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;4;0.3;10.0
2;300;2;4;sqrt;
3;200;2;2;log2;10.0
4;500;5;4;log2;10.0
5;500;2;2;log2;20.0
6;500;2;1;0.3;
7;500;5;4;sqrt;20.0
8;300;5;1;0.3;
9;300;2;2;sqrt;10.0
10;500;10;2;0.3;20.0
11;200;5;2;0.3;20.0
12;300;5;2;0.3;
13;300;10;4;log2;
14;200;10;1;0.3;10.0
15;200;2;2;log2;
16;200;10;4;0.3;10.0
17;100;5;4;sqrt;20.0
18;100;5;1;log2;
19;500;2;4;0.3;20.0
20;500;2;4;log2;10.0
21;100;2;1;log2;10.0
22;100;5;2;0.3;
23;300;5;1;sqrt;
24;100;2;2;sqrt;10.0
25;100;2;1;0.3;10.0
26;300;5;4;log2;10.0
27;500;2;1;sqrt;20.0
28;200;2;1;0.3;10.0
29;200;2;4;sqrt;
30;200;5;4;log2;20.0
