Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;1;sqrt;20.0
2;100;5;1;log2;10.0
3;100;10;1;log2;10.0
4;200;10;4;sqrt;
5;200;10;2;0.3;20.0
6;500;2;1;0.3;20.0
7;300;10;1;log2;20.0
8;300;2;4;sqrt;20.0
9;100;5;1;sqrt;
10;300;10;4;sqrt;10.0
11;300;5;1;log2;
12;300;5;2;log2;
13;500;5;2;log2;20.0
14;100;2;4;sqrt;
15;500;5;1;sqrt;
16;100;10;2;0.3;10.0
17;300;10;1;log2;
18;200;5;2;log2;
19;200;5;2;log2;20.0
20;200;2;1;log2;10.0
21;100;10;1;sqrt;
22;500;5;1;0.3;20.0
23;100;10;1;0.3;20.0
24;200;2;2;log2;
25;500;10;2;sqrt;
26;200;2;1;sqrt;10.0
27;300;2;2;log2;20.0
28;200;2;4;sqrt;20.0
29;500;5;4;log2;
30;200;2;1;0.3;10.0
