Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 11));0.5558;470.3931;1.5261;304.5278
2;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,2,15)), list('snv','');0.7882;360.1446;2.2099;326.8451
3;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 2, 21));0.3521;526.6732;1.2635;292.0366
4;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 21));0.6905;282.9666;1.8283;345.229
5;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.6537;486.8788;1.7283;296.0559
