Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;1;0.3;20.0
2;300;10;2;0.3;
3;200;10;1;0.3;20.0
4;300;10;2;log2;20.0
5;200;10;1;sqrt;20.0
6;300;2;1;sqrt;
7;300;5;1;0.3;20.0
8;100;2;2;log2;20.0
9;200;10;4;log2;
10;200;5;2;sqrt;10.0
11;300;5;2;sqrt;20.0
12;500;5;1;0.3;20.0
13;300;5;2;sqrt;
14;200;2;4;0.3;10.0
15;100;5;1;sqrt;10.0
16;200;5;2;0.3;10.0
17;300;2;4;sqrt;20.0
18;200;2;4;sqrt;10.0
19;100;5;2;sqrt;10.0
20;100;10;2;sqrt;20.0
21;300;10;1;log2;
22;200;2;1;0.3;10.0
23;300;5;2;log2;20.0
24;300;2;4;log2;10.0
25;100;2;4;sqrt;10.0
26;200;10;4;0.3;10.0
27;500;5;2;sqrt;
28;300;10;2;0.3;10.0
29;500;10;2;0.3;20.0
30;100;5;4;log2;10.0
