Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;780549;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 21));0.2602;0.3976;0.3571;0.4489;1.2685
2;896881;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 15));0.301;0.4154;0.0994;0.4122;1.0718
3;295443;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 21));0.2664;0.429;0.2953;0.3494;1.2116
4;661575;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.282;0.417;0.1926;0.406;1.1319
5;119608;list('adj',''), list('red',c(1,1200,1)), list('snv',''), list('sder',c(2,3,15));0.2001;0.439;0.3274;0.3481;1.2402
6;979651;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.3229;0.4195;-0.7487;0.4196;0.7691
7;485612;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 21));0.2199;0.4178;0.2702;0.4489;1.1906
8;326985;list('adj',''), list('red',c(1,1400,1)), list('snv',''), list('sder',c(2,3,15));0.2805;0.4256;0.0878;0.39;1.0649
9;541835;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(2, 3, 21));0.1428;0.4064;0.3372;0.5024;1.2493
10;397768;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 21));0.3199;0.3809;0.2402;0.4799;1.1668
