Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;904675;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(1,3,15));0.2674;1.1676;-0.0706;2.0965;0.983
2;803444;list('adj',''), list('red',c(1,1400,1)), list('snv',''), list('sder',c(2,3,15));0.1975;1.4122;-0.3343;1.3539;0.8805
3;354091;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.2507;1.3665;-0.1211;1.2364;0.9606
4;168022;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.2092;1.4159;-0.3503;1.2589;0.8753
5;525571;list('adj',''), list('red',c(1,1300,1)), list('snv','');0.1969;1.3315;-0.3381;1.8623;0.8793
6;541008;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.2955;1.2642;-0.6038;1.9367;0.8031
7;424939;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.2988;1.2704;-0.5624;1.8439;0.8137
8;272494;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.1797;1.4123;-0.0923;1.3012;0.9732
9;713940;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.244;1.3653;-0.1791;1.3115;0.9367
10;552264;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.2758;1.3781;-0.3914;1.0286;0.8622
