Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;4;sqrt;10.0
2;100;2;1;sqrt;10.0
3;200;5;4;sqrt;10.0
4;200;10;1;sqrt;
5;100;2;1;0.3;10.0
6;300;5;2;sqrt;10.0
7;500;2;1;sqrt;20.0
8;100;5;2;0.3;10.0
9;300;2;2;log2;20.0
10;100;2;1;log2;10.0
11;500;10;4;log2;10.0
12;100;10;2;log2;10.0
13;300;10;1;sqrt;20.0
14;100;5;2;sqrt;10.0
15;300;5;1;0.3;10.0
16;300;2;2;0.3;20.0
17;100;10;1;0.3;20.0
18;100;10;1;sqrt;10.0
19;200;2;4;sqrt;
20;200;5;1;sqrt;
21;200;2;4;0.3;20.0
22;100;10;2;log2;20.0
23;300;10;1;log2;
24;300;10;1;0.3;
25;200;10;2;0.3;
26;200;2;2;log2;10.0
27;200;5;4;0.3;10.0
28;300;5;1;0.3;
29;500;2;4;log2;
30;500;5;4;0.3;20.0
