Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;2;sqrt;20.0
2;500;2;4;0.3;
3;500;10;1;0.3;20.0
4;500;5;2;0.3;20.0
5;300;2;1;0.3;
6;100;5;2;sqrt;20.0
7;500;10;1;log2;
8;100;10;1;sqrt;
9;200;10;2;sqrt;20.0
10;300;5;1;sqrt;
11;200;10;4;sqrt;20.0
12;100;5;2;0.3;10.0
13;300;2;4;sqrt;10.0
14;200;10;4;0.3;
15;200;2;4;0.3;20.0
16;200;5;4;sqrt;10.0
17;200;2;2;sqrt;
18;100;10;2;0.3;10.0
19;100;10;2;sqrt;20.0
20;200;2;1;sqrt;10.0
21;100;2;4;sqrt;20.0
22;100;10;2;log2;
23;300;10;1;log2;10.0
24;100;5;4;sqrt;10.0
25;100;2;2;0.3;10.0
26;300;5;2;0.3;10.0
27;300;10;1;log2;20.0
28;100;5;4;log2;
29;100;5;2;0.3;20.0
30;100;2;4;0.3;10.0
