Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.9229;2.0347;3.6639;2.5925
2;list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(2,3,15));0.814;3.2631;2.3585;2.5246
3;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.8876;2.101;3.0333;2.4836
4;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,25));0.8265;2.7538;2.4416;2.4332
5;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,25));0.816;2.8148;2.3713;2.6446
