Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;4;0.3;20.0
2;100;2;1;log2;10.0
3;500;2;4;log2;20.0
4;500;5;2;0.3;10.0
5;500;10;1;sqrt;
6;100;2;1;log2;20.0
7;500;10;4;0.3;10.0
8;500;5;2;0.3;20.0
9;200;10;2;log2;10.0
10;200;5;2;sqrt;10.0
11;300;2;1;0.3;
12;300;5;2;sqrt;20.0
13;200;5;2;sqrt;20.0
14;200;2;1;sqrt;10.0
15;100;5;2;log2;20.0
16;500;2;2;0.3;10.0
17;200;5;2;log2;
18;200;2;4;log2;
19;100;10;4;log2;20.0
20;100;2;4;0.3;
21;300;10;2;0.3;20.0
22;200;2;2;sqrt;
23;200;2;2;0.3;10.0
24;100;5;4;0.3;20.0
25;500;5;4;0.3;20.0
26;500;2;4;0.3;10.0
27;500;5;4;0.3;
28;100;10;2;0.3;
29;500;5;1;sqrt;
30;100;2;1;log2;
