Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;17695;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 21));0.2651;0.0954;0.2368;0.1222;1.1642
2;434467;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,15));0.2704;0.0966;0.3521;0.1076;1.2636
3;168285;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 9));0.2769;0.0978;0.28;0.107;1.1987
4;514036;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 9));0.2301;0.1039;0.2746;0.0933;1.1942
5;446412;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,3,21)), list('snv','');0.301;0.0942;0.1726;0.1222;1.1182
6;516734;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.2296;0.0971;0.3538;0.1147;1.2652
7;619126;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(0, 3, 21));0.2693;0.0995;0.2197;0.1072;1.1514
8;112600;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.2181;0.1056;0.2525;0.0882;1.1764
9;854985;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,3,21)), list('snv','');0.3104;0.1029;-0.1937;0.0899;0.9309
10;607181;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.2284;0.1025;0.3658;0.0954;1.2772
