Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
2;M232;0.2999986173569883;0.24838450251637448;0.05161411484061382
3;M2;0.700006476885381;0.42948803029891197;0.270518446586469
15;M70;0.49998275082167487;0.38426681642951527;0.1157159343921596
21;M283;0.3265480564876892;0.25622466256365334;0.07032339392403586
22;M137;0.2999977422369951;0.3162236305634741;-0.016225888326478977
24;M242;0.19998575251813788;0.3097953067262335;-0.10980955420809563
30;M173;0.09999708306250207;0.27352539691272404;-0.17352831385022197
38;M258;0.3999804032987612;0.2609902192672457;0.13899018403151553
53;M170;0.399993230779997;0.35920909440041876;0.04078413637957823
61;M224;0.29999520825762155;0.23049375067194855;0.069501457585673
72;M74;0.30001538036566466;0.21874190042997493;0.08127347993568973
75;M165;0.6481234025489591;0.43714724094922536;0.2109761615997337
83;M290;0.40001477894044746;0.29102324353131;0.10899153540913747
87;M69;0.300009154021177;0.26657055534077234;0.03343859868040466
88;M7;0.4000032875110966;0.403103803941474;-0.003100516430377398
93;M199;0.37744887946906125;0.2977311782521099;0.07971770121695138
100;M31;0.3999976541286663;0.34848916400769836;0.05150849012096792
103;M273;0.4761842728548347;0.37140309325045273;0.10478117960438199
104;M186;0.37125837722730776;0.2744092197939286;0.09684915743337913
107;M182;0.5000188618590121;0.3934811766101902;0.1065376852488219
108;M247;0.40000174577812836;0.3777634351176536;0.02223831066047477
110;M197;0.21511805554084235;0.29575571806449413;-0.08063766252365179
117;M304;0.29999965288230296;0.27217016971705604;0.027829483165246915
119;M264;0.29201642822814516;0.33039606217263595;-0.03837963394449079
122;M225;0.29999090612545204;0.3723306234521212;-0.07233971732666916
130;M268;0.33456026524345883;0.368733957205063;-0.03417369196160419
