Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;133371;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.7752;169.1788;0.3514;313.1499;1.2629
2;75331;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.6426;226.8206;0.6981;161.2059;1.8512
3;551470;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(2, 3, 21));0.7127;210.4535;-0.3143;237.3792;0.8872
4;529452;list('adj',''), list('red',c(1,1400,1)), list('snv',''), list('sder',c(2,3,15));0.6493;226.5725;0.6034;176.6144;1.6151
5;631210;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.682;202.5961;0.5101;266.1897;1.4531
6;63973;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.6515;225.8128;0.6336;169.1562;1.6802
7;235748;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 3, 31));0.6285;238.1167;0.1794;188.2338;1.1228
8;881728;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.6196;220.9245;0.7515;189.238;2.0403
9;467579;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.6403;223.522;0.6715;179.4831;1.7747
10;29854;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 11));0.6266;230.5913;0.818;127.6288;2.3842
