Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 21));-0.3075;7.402;0.8895;6.4342
2;list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15));0.4803;9.5607;1.4108;6.4247
3;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 11));0.3629;9.622;1.2743;5.975
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 9));0.4873;7.8292;1.4205;6.5988
5;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 9));0.2963;8.2542;1.2125;6.728
