Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 5));0.0157;0.5488;1.0252;0.6128
2;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 15));-0.2397;0.7444;0.9135;0.5754
3;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));-0.0619;0.6407;0.987;0.5794
4;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 15));-0.3208;0.5942;0.885;0.6114
5;list('adj',''), list('red',c(950,650,1)), list('snv',''), list('sder',c(2,3,15));0.0191;0.6064;1.027;0.6024
