"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"X9.cis.beta.carotene";42,8392;32,5485;32,6436
"random_forest";"X9.cis.beta.carotene";35,6746;35,0848;24,9579
"xgboost";"X9.cis.beta.carotene";33,3701;41,2586;28,2364
