Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;951769;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.8015;131.4232;0.7444;179.5704;2.0116
2;274344;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.8095;138.1716;0.2668;225.7872;1.1878
3;153172;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7824;134.7564;0.6525;208.9629;1.7254
4;287667;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,21));0.7268;148.4382;0.7734;173.9063;2.1364
5;198129;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,4,21)), list('snv','');0.8065;138.193;0.6161;168.2991;1.6415
6;486860;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 31));0.7847;137.7052;0.7047;190.6908;1.8718
7;601879;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.7723;145.208;0.7131;171.0259;1.899
8;864550;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7554;151.5647;0.7811;143.495;2.1741
9;826001;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 9));0.7723;141.9629;0.8017;154.4453;2.2843
10;11775;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,21));0.7715;153.0793;0.7994;107.9082;2.2707
