Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;4;log2;10.0
2;200;5;1;log2;20.0
3;500;10;2;sqrt;20.0
4;200;2;1;0.3;
5;100;5;4;sqrt;10.0
6;500;2;1;sqrt;20.0
7;100;5;4;log2;
8;500;5;1;sqrt;
9;500;5;2;sqrt;
10;300;2;4;0.3;10.0
11;500;10;2;log2;
12;500;5;1;0.3;10.0
13;500;5;2;0.3;10.0
14;500;10;4;sqrt;
15;500;2;2;0.3;20.0
16;100;5;4;0.3;10.0
17;300;10;1;sqrt;20.0
18;100;5;4;sqrt;20.0
19;500;10;2;log2;10.0
20;300;2;2;0.3;10.0
21;300;2;1;log2;
22;100;10;1;log2;20.0
23;200;2;4;sqrt;20.0
24;500;5;2;0.3;
25;100;2;4;sqrt;
26;500;10;2;0.3;10.0
27;200;5;4;0.3;
28;300;2;1;log2;20.0
29;100;5;1;0.3;
30;300;10;2;sqrt;20.0
