Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;4;sqrt;20.0
2;300;2;2;log2;
3;200;5;2;sqrt;
4;200;10;1;sqrt;
5;100;10;4;sqrt;
6;500;2;2;sqrt;
7;500;2;2;log2;20.0
8;100;2;2;sqrt;10.0
9;500;5;1;0.3;
10;500;5;4;0.3;20.0
11;500;2;2;sqrt;20.0
12;300;5;1;sqrt;10.0
13;500;2;1;0.3;
14;500;5;1;0.3;20.0
15;300;10;4;sqrt;10.0
16;300;10;1;sqrt;10.0
17;300;2;4;sqrt;
18;500;5;4;sqrt;20.0
19;500;2;1;log2;20.0
20;500;5;2;sqrt;20.0
21;200;2;1;sqrt;20.0
22;100;5;2;log2;20.0
23;100;2;2;log2;
24;100;2;2;log2;20.0
25;300;2;1;0.3;20.0
26;200;5;4;sqrt;
27;300;5;4;0.3;
28;100;2;2;log2;10.0
29;100;2;2;0.3;20.0
30;200;5;4;log2;10.0
