Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;4;sqrt;10.0
2;200;2;1;log2;10.0
3;500;10;2;0.3;20.0
4;500;5;1;log2;10.0
5;200;10;2;sqrt;
6;100;5;4;0.3;20.0
7;100;5;1;log2;10.0
8;100;2;1;0.3;20.0
9;100;10;1;log2;10.0
10;200;10;2;0.3;
11;300;5;1;log2;
12;500;2;4;log2;
13;200;2;4;0.3;20.0
14;100;5;2;sqrt;10.0
15;500;2;4;0.3;
16;500;5;4;sqrt;
17;300;5;2;log2;10.0
18;500;5;4;log2;10.0
19;100;10;2;log2;
20;200;10;1;sqrt;
21;200;5;4;log2;20.0
22;300;10;4;log2;20.0
23;500;10;1;sqrt;10.0
24;300;2;4;log2;
25;200;10;1;0.3;20.0
26;200;5;4;sqrt;10.0
27;100;2;2;sqrt;10.0
28;100;10;2;sqrt;
29;100;10;1;sqrt;20.0
30;500;10;2;log2;
