Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;1;log2;
2;500;2;2;0.3;20.0
3;300;10;2;log2;10.0
4;200;10;4;log2;20.0
5;300;2;4;0.3;
6;200;2;1;0.3;10.0
7;300;5;4;log2;10.0
8;200;5;1;sqrt;20.0
9;500;2;2;log2;
10;500;5;4;log2;10.0
11;300;2;4;0.3;10.0
12;100;2;4;log2;
13;100;10;2;0.3;20.0
14;300;5;2;log2;10.0
15;200;5;1;sqrt;
16;300;5;1;sqrt;20.0
17;200;2;4;log2;20.0
18;100;10;2;log2;10.0
19;300;2;1;0.3;20.0
20;300;10;1;sqrt;10.0
21;100;2;1;log2;
22;300;2;2;sqrt;
23;200;5;1;log2;20.0
24;500;10;1;0.3;
25;100;5;4;0.3;
26;500;10;1;log2;
27;200;10;4;0.3;10.0
28;200;5;1;log2;
29;200;10;4;sqrt;
30;300;5;4;sqrt;20.0
