Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;4;sqrt;10.0
2;300;10;1;log2;20.0
3;500;10;1;log2;20.0
4;200;2;4;sqrt;
5;100;2;1;log2;
6;300;2;2;sqrt;20.0
7;100;5;4;log2;
8;500;5;2;log2;20.0
9;300;10;1;sqrt;10.0
10;500;2;2;log2;
11;200;5;2;sqrt;10.0
12;300;5;2;log2;20.0
13;200;5;4;0.3;
14;100;2;2;sqrt;10.0
15;300;10;4;0.3;10.0
16;200;2;1;0.3;10.0
17;500;5;2;sqrt;
18;100;10;4;sqrt;20.0
19;200;10;4;0.3;
20;200;10;1;sqrt;
21;100;10;2;0.3;
22;200;5;4;sqrt;
23;200;5;1;sqrt;
24;300;5;1;sqrt;20.0
25;500;2;1;log2;
26;200;5;4;log2;
27;300;2;1;0.3;20.0
28;200;5;4;log2;10.0
29;100;10;4;log2;10.0
30;300;5;4;sqrt;20.0
