Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;4;0.3;10.0
2;300;2;1;0.3;10.0
3;500;5;2;0.3;10.0
4;200;2;1;0.3;
5;500;10;1;log2;
6;500;5;2;0.3;20.0
7;200;2;2;sqrt;
8;200;2;2;log2;10.0
9;100;5;1;sqrt;20.0
10;100;10;1;0.3;10.0
11;200;2;1;log2;
12;300;2;4;log2;
13;100;10;1;log2;20.0
14;100;10;2;log2;
15;100;2;1;sqrt;20.0
16;100;10;4;log2;
17;300;2;4;0.3;
18;200;5;4;log2;
19;200;5;1;0.3;
20;300;2;1;0.3;
21;200;5;4;0.3;10.0
22;200;2;2;log2;20.0
23;200;2;1;sqrt;20.0
24;300;2;4;0.3;10.0
25;500;5;1;0.3;10.0
26;200;5;2;log2;
27;300;5;4;log2;10.0
28;100;2;1;log2;
29;200;2;2;log2;
30;300;2;2;log2;20.0
