Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;35379;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 11));0.5827;7.0437;0.525;6.1265;1.4757
2;156044;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 11));0.5081;7.3313;0.4708;8.0334;1.3981
3;885497;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 15));0.5893;7.0945;-0.0052;7.9339;1.0145
4;217444;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.5733;6.7215;0.4768;8.4652;1.4062
5;231707;list('adj',''), list('snv',''), list('sder',c(2,3,15));0.5609;7.221;0.5757;5.7005;1.5614
6;879463;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.5828;7.0391;0.3215;7.344;1.2348
7;325165;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 15));0.5463;7.2341;0.3813;7.6098;1.2931
8;285145;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.5234;7.0837;0.5883;7.5275;1.5852
9;213412;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 11));0.5425;6.5215;0.3786;11.0014;1.2903
10;556689;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 31));0.5265;7.5075;0.5514;5.893;1.5185
