"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"total.trans.carotene.natif";392,434;359,1319;157,3687
"random_forest";"total.trans.carotene.natif";309,1445;297,1967;127,1379
"xgboost";"total.trans.carotene.natif";333,0459;324,0186;147,4157
