Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;1;log2;
2;100;5;4;0.3;10.0
3;500;5;4;0.3;10.0
4;500;10;4;log2;
5;100;10;1;sqrt;20.0
6;200;5;1;sqrt;20.0
7;500;5;2;log2;10.0
8;100;2;4;sqrt;20.0
9;200;10;1;log2;10.0
10;100;10;2;log2;
11;500;10;1;log2;10.0
12;300;10;1;log2;20.0
13;200;10;1;log2;
14;200;5;1;0.3;
15;100;10;4;0.3;20.0
16;500;10;2;sqrt;10.0
17;300;10;1;0.3;10.0
18;100;10;1;sqrt;
19;300;10;4;log2;20.0
20;100;5;1;log2;
21;300;10;4;log2;10.0
22;500;10;2;0.3;20.0
23;200;10;4;sqrt;20.0
24;500;5;4;sqrt;10.0
25;300;5;2;log2;
26;100;5;1;log2;20.0
27;100;5;2;0.3;
28;300;2;4;log2;
29;500;2;4;log2;
30;200;2;1;log2;20.0
