Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
1;M38;35.300004967141525;36.36524887175794;-1.0652439046164162
10;M25;42.100005425600436;45.987947293362964;-3.887941867762528
13;M238;42.351312419622715;40.78486350673231;1.566448912890408
16;M166;40.25698437712471;38.73236239532876;1.5246219817959528
23;M207;39.452970675282046;38.68597796547563;0.7669927098064164
25;M114;55.09999455617275;54.49766003649702;0.6023345196757361
26;M154;43.6000011092259;42.03588383788971;1.5641172713361868
29;M298;41.0622639936131;40.55387636811912;0.508387625493981
31;M109;53.29999398293388;51.069691943894114;2.2303020390397634
34;M300;42.19998942289072;41.63406675087448;0.5659226720162351
43;M204;41.399998843517174;41.39142116432558;0.008577679191596133
45;M243;42.0999852147801;41.036741309423725;1.063243905356373
48;M280;42.10001057122226;41.76045124532784;0.3395593258944203
52;M234;45.12067614917719;44.65716199486337;0.46351415431382037
63;M289;40.79998893665026;41.29379296551778;-0.4938040288675225
66;M201;37.290423562400285;41.281108747926226;-3.9906851855259404
67;M97;49.69999927989879;47.801207215789525;1.8987920641092657
68;M73;52.50001003532898;52.24627540282932;0.25373463249965766
71;M111;52.50000361395605;50.38213510729373;2.117868506662326
78;M164;41.0999970099265;41.62634707384096;-0.5263500639144638
79;M18;49.20000091760777;50.79535540384956;-1.5953544862417957
90;M120;54.00000513267433;51.2513052472009;2.7486998854734352
97;M168;40.377282961202766;40.73592595083229;-0.3586429896295229
114;M79;49.00002463242112;44.14548260467709;4.854542027744031
118;M269;32.79998831321962;36.681760030910176;-3.8817717176905546
125;M148;33.400005868570936;36.351927484362406;-2.95192161579147
