Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;818561;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 21));0.1335;0.6031;0.0998;0.5732;1.072
2;893659;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 21));0.143;0.6056;-0.1507;0.6162;0.9482
3;332053;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.1155;0.6008;-0.0211;0.6484;1.0065
4;648987;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 11));0.1657;0.5826;-0.0472;0.6631;0.9939
5;86049;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','2'), list('sder',c(1,3,15));0.1577;0.579;0.0023;0.6779;1.0182
6;187290;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.1724;0.5608;0.0534;0.712;1.0454
7;604666;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.1426;0.5928;0.0037;0.6379;1.019
8;772252;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.1241;0.6022;0.202;0.5472;1.1385
9;347950;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.1395;0.602;-0.029;0.6082;1.0027
10;612022;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','2'), list('sder',c(1,3,15));0.117;0.6087;-0.1834;0.6377;0.935
