Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;2;sqrt;10.0
2;100;10;1;log2;10.0
3;300;5;2;sqrt;
4;300;5;4;sqrt;10.0
5;200;5;1;sqrt;20.0
6;300;10;4;sqrt;
7;200;10;1;log2;10.0
8;300;5;4;0.3;
9;500;10;1;log2;10.0
10;200;2;2;sqrt;20.0
11;100;5;2;log2;
12;300;5;4;sqrt;20.0
13;500;5;1;0.3;10.0
14;500;2;4;log2;20.0
15;200;2;2;sqrt;
16;300;10;4;0.3;20.0
17;500;10;4;sqrt;20.0
18;500;5;2;sqrt;10.0
19;200;10;2;sqrt;10.0
20;100;10;4;sqrt;10.0
21;500;10;2;sqrt;
22;300;2;2;log2;20.0
23;200;2;1;log2;10.0
24;500;2;4;0.3;
25;300;5;2;0.3;
26;300;10;1;sqrt;20.0
27;200;5;2;sqrt;
28;200;2;4;0.3;10.0
29;300;10;1;log2;20.0
30;200;10;4;log2;10.0
