Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;271691;list('adj',''), list('red',c(1,1200,1)), list('snv',''), list('sder',c(2,3,15));0.3086;1.4228;0.1136;1.2996;1.0803
2;395542;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.4277;1.2829;-0.1178;1.554;0.962
3;267200;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 11));0.3092;1.3781;0.0778;1.4741;1.0591
4;791824;list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15));0.2656;1.4435;0.3096;1.2558;1.2241
5;232592;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2, 3, 21));0.3161;1.4108;0.3805;1.1152;1.2922
6;852298;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 15));0.2246;1.4162;0.4153;1.362;1.3301
7;74197;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 21));0.315;1.4036;0.1531;1.3024;1.1052
8;215467;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,15)), list('snv','');0.3765;1.3173;-0.0457;1.6341;0.9946
9;664;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 21));0.3293;1.4116;0.2549;1.1403;1.1783
10;824178;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 15));0.3598;1.2602;0.2195;1.6847;1.1513
