Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;717508;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.2814;0.0936;0.3127;0.106;1.2269
2;229958;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.3058;0.0981;0.1252;0.0899;1.0874
3;554360;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,21)), list('snv','');0.2774;0.0984;0.0659;0.104;1.0524
4;936697;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.2899;0.0995;0.2934;0.0832;1.21
5;514967;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.2554;0.1013;0.0482;0.0978;1.0425
6;343642;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.3268;0.0963;0.1442;0.0875;1.0994
7;490782;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.2673;0.0965;0.276;0.1001;1.1953
8;981501;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,4,21)), list('snv','');0.2182;0.0966;0.2132;0.115;1.1466
9;924571;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.2432;0.1027;0.3061;0.0827;1.221
10;829361;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.2366;0.1025;0.4449;0.0762;1.3651
