Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;1;0.3;10.0
2;300;10;1;0.3;20.0
3;200;5;4;sqrt;20.0
4;200;5;2;0.3;10.0
5;500;5;1;0.3;
6;200;2;4;sqrt;
7;300;5;2;sqrt;
8;500;2;4;sqrt;10.0
9;300;2;2;sqrt;10.0
10;200;5;4;log2;20.0
11;300;5;4;sqrt;20.0
12;100;10;2;0.3;10.0
13;500;2;1;0.3;10.0
14;100;5;2;0.3;10.0
15;500;10;1;sqrt;10.0
16;300;10;1;log2;20.0
17;100;10;2;sqrt;
18;300;2;2;sqrt;20.0
19;100;5;2;log2;20.0
20;500;5;2;sqrt;20.0
21;500;5;1;sqrt;10.0
22;300;10;2;sqrt;10.0
23;300;5;1;0.3;10.0
24;200;2;4;log2;
25;200;10;4;0.3;
26;300;5;1;log2;10.0
27;300;5;1;sqrt;
28;200;5;1;0.3;20.0
29;300;5;2;log2;
30;200;2;2;sqrt;20.0
