Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;903461;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.6578;223.6093;0.5119;177.1079;1.4558
2;688856;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 31));0.6957;206.7051;0.7261;167.3503;1.9435
3;305616;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.6286;223.9706;0.6492;205.284;1.7173
4;580074;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.6825;207.6052;0.7393;176.7149;1.992
5;908657;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.6901;219.4823;0.386;149.2151;1.298
6;319700;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,2,15)), list('snv','');0.6932;201.6243;0.5398;246.5413;1.4993
7;56876;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.6613;207.3304;0.4107;295.9303;1.3249
8;953114;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 25));0.767;168.5662;0.569;271.7811;1.5492
9;176084;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 31));0.6802;182.1438;0.6196;295.2448;1.649
10;83314;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.7081;189.1377;0.6457;235.4192;1.7088
