"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"X13.cis.beta.carotene";24,4103;25,2493;26,6821
"random_forest";"X13.cis.beta.carotene";23,9057;26,0752;23,6794
"xgboost";"X13.cis.beta.carotene";31,71;21,6993;20,5206
