Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;4;sqrt;10.0
2;300;2;4;log2;20.0
3;100;5;4;log2;
4;300;10;2;sqrt;
5;200;5;4;0.3;10.0
6;500;5;2;sqrt;
7;100;10;4;0.3;
8;200;5;4;sqrt;
9;200;10;4;sqrt;
10;200;2;4;log2;20.0
11;100;10;2;0.3;20.0
12;500;5;1;0.3;10.0
13;500;10;2;log2;10.0
14;500;10;4;0.3;10.0
15;100;2;1;0.3;10.0
16;200;2;4;sqrt;20.0
17;100;10;2;sqrt;10.0
18;100;2;1;sqrt;20.0
19;100;10;4;log2;
20;500;5;4;0.3;10.0
21;500;10;2;sqrt;10.0
22;200;5;4;log2;20.0
23;100;5;1;sqrt;10.0
24;200;10;1;sqrt;10.0
25;100;5;4;0.3;10.0
26;100;10;2;log2;10.0
27;100;5;4;sqrt;10.0
28;100;10;2;sqrt;
29;200;10;1;0.3;20.0
30;200;10;4;log2;20.0
