Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;1;sqrt;
2;500;10;4;sqrt;
3;500;5;2;sqrt;10.0
4;200;2;2;0.3;20.0
5;200;10;2;log2;20.0
6;300;5;4;0.3;20.0
7;500;5;4;log2;10.0
8;200;2;4;sqrt;20.0
9;500;2;2;log2;20.0
10;100;2;2;0.3;20.0
11;200;2;1;0.3;20.0
12;200;10;1;0.3;
13;200;10;1;sqrt;
14;200;10;4;0.3;
15;100;10;4;log2;20.0
16;100;10;2;sqrt;10.0
17;100;2;1;sqrt;10.0
18;300;2;1;0.3;20.0
19;500;10;2;0.3;10.0
20;300;5;2;log2;10.0
21;300;2;1;log2;20.0
22;500;10;2;sqrt;10.0
23;300;5;4;log2;10.0
24;200;5;2;0.3;
25;200;10;1;log2;20.0
26;100;10;4;0.3;10.0
27;500;5;2;log2;
28;300;2;2;sqrt;
29;100;2;4;0.3;20.0
30;500;5;2;0.3;10.0
