Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;639170;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.2089;0.1185;0.236;0.1188;1.1636
2;575018;list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(1,3,15));0.2091;0.1182;-0.0247;0.1394;1.0048
3;428093;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 2, 31));0.2731;0.1086;-0.008;0.1597;1.0131
4;924956;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 21));0.153;0.1235;0.2038;0.1165;1.1398
5;830296;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.1889;0.1223;0.1618;0.1132;1.1109
6;579388;list('adj',''), list('red',c(800,750,1)), list('snv',''), list('sder',c(2,3,15));0.1704;0.1184;0.1707;0.1368;1.1169
7;500790;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 25));0.2538;0.1164;0.1478;0.1184;1.1018
8;69779;list('adj',''), list('red',c(950,650,1)), list('snv',''), list('sder',c(2,3,15));0.2164;0.1241;-0.227;0.1118;0.9182
9;880968;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 11));0.2464;0.1185;-0.2079;0.1273;0.9254
10;318272;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.2045;0.1227;0.1123;0.1095;1.0795
