Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;1;log2;
2;300;5;4;sqrt;20.0
3;300;10;4;0.3;
4;500;10;4;log2;
5;200;10;2;sqrt;10.0
6;200;5;2;sqrt;20.0
7;500;2;2;sqrt;20.0
8;500;10;4;log2;10.0
9;200;5;1;0.3;
10;100;10;4;sqrt;20.0
11;200;10;4;sqrt;10.0
12;500;5;1;0.3;10.0
13;200;5;1;sqrt;20.0
14;500;10;1;log2;20.0
15;300;10;4;sqrt;10.0
16;200;10;1;sqrt;20.0
17;100;2;4;sqrt;20.0
18;500;10;1;sqrt;10.0
19;300;2;1;0.3;10.0
20;200;2;1;log2;
21;100;5;2;0.3;20.0
22;100;5;1;log2;
23;500;5;2;sqrt;20.0
24;200;10;4;sqrt;20.0
25;100;5;4;log2;10.0
26;300;2;4;log2;
27;100;10;1;0.3;
28;200;5;1;0.3;10.0
29;300;2;1;sqrt;10.0
30;100;2;1;0.3;
