Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 9));0.8366;194.171;2.5163;225.0456
2;list('adj',''), list('snv',''), list('sder',c(2,3,15));0.6663;205.0739;1.7607;230.1776
3;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.6034;264.0033;1.6151;236.9377
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 25));0.5649;271.6242;1.5419;210.861
5;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.6862;189.7942;1.8155;221.4555
