Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;689831;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(1,3,15));0.6068;3.3585;0.3404;3.4143;1.2523
2;445544;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.6044;3.2046;0.6764;3.1146;1.7879
3;528837;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.6307;3.1905;0.4592;3.4939;1.3831
4;266755;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.5965;3.3716;0.7776;2.1232;2.1568
5;646320;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.6271;3.2213;0.5001;3.2197;1.4386
6;218153;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,21));0.609;3.1908;0.3551;4.2335;1.2666
7;805210;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.5246;3.453;0.7451;2.9349;2.0145
8;498922;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.5608;3.4172;0.7829;2.3823;2.183
9;567587;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.6858;2.8807;0.4338;3.9078;1.3517
10;781898;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.5883;3.1281;0.6163;3.8264;1.6421
