Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;2;sqrt;10.0
2;500;2;2;sqrt;20.0
3;200;5;2;sqrt;20.0
4;300;2;4;0.3;
5;300;2;4;log2;10.0
6;500;2;1;log2;20.0
7;100;10;2;sqrt;
8;500;10;2;0.3;10.0
9;200;5;4;sqrt;20.0
10;500;5;4;log2;10.0
11;200;2;2;0.3;
12;300;10;2;log2;10.0
13;500;5;2;sqrt;10.0
14;500;2;1;log2;10.0
15;300;2;2;0.3;
16;100;10;2;log2;
17;100;5;4;sqrt;20.0
18;300;10;1;log2;20.0
19;300;5;2;sqrt;20.0
20;200;2;4;0.3;
21;300;5;2;0.3;20.0
22;200;2;1;log2;
23;200;5;4;sqrt;
24;200;5;2;0.3;20.0
25;500;2;1;sqrt;20.0
26;100;2;1;0.3;20.0
27;500;5;1;log2;10.0
28;300;2;1;log2;20.0
29;100;2;4;log2;20.0
30;100;2;4;0.3;10.0
