Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;4;log2;20.0
2;200;5;1;sqrt;20.0
3;200;10;4;sqrt;10.0
4;200;2;1;log2;10.0
5;500;2;1;sqrt;10.0
6;300;10;1;0.3;20.0
7;300;5;4;log2;10.0
8;300;10;4;log2;20.0
9;100;10;2;sqrt;10.0
10;500;2;1;0.3;20.0
11;100;10;2;log2;20.0
12;500;2;4;sqrt;10.0
13;300;5;2;sqrt;
14;200;5;4;0.3;20.0
15;300;10;1;sqrt;
16;100;10;4;log2;10.0
17;300;10;2;0.3;
18;100;5;2;sqrt;20.0
19;100;10;1;log2;10.0
20;200;10;2;sqrt;20.0
21;200;2;4;sqrt;10.0
22;500;2;4;log2;
23;100;5;2;log2;10.0
24;300;10;4;0.3;20.0
25;200;10;1;0.3;
26;500;5;4;0.3;
27;500;5;1;log2;
28;500;10;1;sqrt;
29;100;10;1;sqrt;20.0
30;200;2;4;log2;10.0
