Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;4;log2;20.0
2;200;2;2;log2;10.0
3;300;5;1;0.3;
4;500;5;2;sqrt;
5;300;5;1;log2;20.0
6;300;10;4;log2;10.0
7;300;10;2;sqrt;
8;100;10;2;log2;20.0
9;200;2;2;sqrt;20.0
10;100;5;1;log2;10.0
11;300;10;4;log2;
12;500;10;2;sqrt;10.0
13;300;10;4;0.3;
14;500;5;4;sqrt;
15;300;2;2;0.3;20.0
16;500;2;2;0.3;20.0
17;300;5;2;log2;10.0
18;100;10;2;sqrt;
19;300;10;2;log2;
20;500;10;2;0.3;10.0
21;500;5;2;0.3;
22;300;5;4;0.3;20.0
23;200;2;2;log2;20.0
24;200;2;2;0.3;
25;200;5;1;sqrt;20.0
26;100;2;4;0.3;
27;100;5;2;sqrt;
28;300;5;1;sqrt;
29;300;5;2;0.3;20.0
30;500;5;1;log2;10.0
