Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.5495;476.1578;1.5153;325.1502
2;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 35));0.5871;379.9545;1.5829;342.1532
3;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.4477;407.9034;1.3686;337.155
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.4888;577.1047;1.4226;298.352
5;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.7155;390.095;1.9069;316.4528
