Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;2;0.3;10.0
2;200;10;1;log2;20.0
3;500;5;1;sqrt;10.0
4;200;10;4;0.3;10.0
5;300;5;2;0.3;
6;200;2;1;log2;10.0
7;500;2;1;0.3;10.0
8;300;10;4;sqrt;
9;300;10;2;log2;10.0
10;100;2;1;log2;
11;100;2;2;sqrt;20.0
12;300;10;1;sqrt;20.0
13;100;5;2;log2;
14;300;2;2;log2;
15;300;5;1;0.3;20.0
16;500;5;4;log2;20.0
17;300;10;4;log2;10.0
18;500;10;2;sqrt;
19;100;5;1;sqrt;20.0
20;300;10;1;log2;20.0
21;100;10;1;sqrt;
22;200;2;2;sqrt;10.0
23;100;2;4;0.3;
24;100;10;4;sqrt;20.0
25;300;10;2;log2;20.0
26;100;10;1;0.3;
27;200;2;4;log2;
28;100;2;1;sqrt;20.0
29;500;10;1;log2;
30;500;2;2;log2;20.0
