Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;1;0.3;
2;500;10;2;log2;
3;100;10;2;0.3;
4;300;5;2;log2;10.0
5;100;2;4;sqrt;10.0
6;300;2;1;log2;
7;300;2;4;sqrt;
8;200;10;2;0.3;
9;200;10;2;sqrt;20.0
10;100;5;1;0.3;10.0
11;500;5;2;log2;20.0
12;300;5;1;0.3;10.0
13;300;10;1;log2;10.0
14;500;5;1;0.3;10.0
15;500;2;1;0.3;20.0
16;200;2;4;log2;
17;200;5;2;log2;20.0
18;500;2;4;sqrt;
19;100;2;2;sqrt;
20;300;10;4;log2;
21;300;2;1;0.3;10.0
22;200;2;4;sqrt;10.0
23;100;2;4;log2;
24;100;5;4;log2;
25;300;5;1;log2;20.0
26;100;10;2;0.3;10.0
27;500;2;4;log2;20.0
28;500;2;2;log2;
29;100;2;4;log2;10.0
30;100;2;4;0.3;
