Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;4;0.3;20.0
2;100;5;4;0.3;
3;200;2;4;0.3;
4;100;10;1;0.3;
5;100;10;4;0.3;20.0
6;500;10;1;sqrt;10.0
7;500;10;4;0.3;
8;200;10;4;log2;10.0
9;100;2;1;sqrt;20.0
10;300;2;1;0.3;
11;300;10;1;sqrt;20.0
12;300;2;4;0.3;10.0
13;300;10;2;log2;20.0
14;300;10;2;log2;10.0
15;300;2;4;sqrt;20.0
16;200;2;2;log2;
17;200;10;4;0.3;20.0
18;200;10;1;log2;20.0
19;500;10;4;log2;10.0
20;500;2;2;sqrt;
21;100;2;4;log2;10.0
22;500;5;2;sqrt;
23;500;10;1;0.3;
24;100;10;4;0.3;
25;300;5;4;0.3;20.0
26;300;2;4;log2;20.0
27;100;2;2;0.3;20.0
28;100;2;4;log2;
29;200;5;4;sqrt;
30;300;5;2;0.3;20.0
