Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.4152;1.2394;1.3301;1.1758
2;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.4684;1.2745;1.3949;1.2055
3;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.4446;1.305;1.3647;1.1921
4;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.1219;1.379;1.0854;1.2598
5;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.3784;1.2939;1.29;1.14
6;list('adj',''), list('red',c(800,750,1)), list('snv',''), list('sder',c(2,3,15));0.4326;1.566;1.3502;1.1593
7;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.4408;1.2434;1.3601;1.2229
8;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.5942;1.1046;1.5967;1.278
9;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.1951;1.2941;1.1337;1.205
10;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.1633;1.3193;1.1119;1.2753
