Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;4;0.3;
2;300;10;1;0.3;10.0
3;200;10;4;log2;
4;200;2;4;sqrt;
5;100;10;2;0.3;10.0
6;300;2;2;sqrt;
7;100;5;1;log2;
8;300;10;2;0.3;10.0
9;200;2;4;0.3;10.0
10;300;10;2;sqrt;20.0
11;100;2;2;sqrt;
12;500;10;4;sqrt;20.0
13;300;10;2;sqrt;10.0
14;300;2;4;0.3;10.0
15;300;2;4;0.3;20.0
16;100;10;1;0.3;
17;500;10;4;log2;10.0
18;500;2;4;0.3;20.0
19;100;10;2;sqrt;20.0
20;200;5;1;log2;
21;500;10;2;0.3;
22;500;10;1;0.3;20.0
23;500;10;1;log2;
24;300;5;1;log2;20.0
25;100;2;4;log2;10.0
26;300;5;2;sqrt;
27;100;2;1;0.3;20.0
28;100;2;1;sqrt;20.0
29;500;2;4;log2;
30;300;2;4;sqrt;
