Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;1;sqrt;
2;200;5;2;sqrt;
3;200;2;4;0.3;
4;300;10;4;0.3;20.0
5;500;10;1;0.3;10.0
6;500;10;1;log2;10.0
7;300;5;2;log2;20.0
8;300;2;2;0.3;20.0
9;300;2;4;sqrt;
10;100;5;1;log2;20.0
11;500;10;1;sqrt;20.0
12;100;2;2;sqrt;20.0
13;300;2;4;log2;20.0
14;300;5;1;log2;10.0
15;100;2;1;sqrt;10.0
16;500;5;2;0.3;10.0
17;500;5;2;sqrt;20.0
18;300;10;4;sqrt;20.0
19;100;5;2;sqrt;20.0
20;100;5;1;log2;10.0
21;200;2;2;0.3;20.0
22;500;10;1;0.3;
23;500;5;4;log2;20.0
24;100;5;2;0.3;10.0
25;100;5;4;sqrt;20.0
26;300;5;1;log2;20.0
27;300;5;1;sqrt;20.0
28;300;5;4;log2;20.0
29;500;10;2;sqrt;20.0
30;300;5;4;log2;
