Algorithme;Tissu;Compose;Fichier_Data;Pretraitement;Variables_Latentes;Hyperparametres;RMSEP_Attendu;R2p_Attendu;Dossier_Pack_Modeles
random_forest;meso_frais;total.trans.carotene.natif;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};361.2051;0.559;PRODUCTION/modeles_pack/random_forest/meso_frais/total.trans.carotene.natif
random_forest;meso_frais;tlip.MS;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300};2.8833;0.2585;PRODUCTION/modeles_pack/random_forest/meso_frais/tlip.MS
random_forest;meso_frais;X9.cis.beta.carotene;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,3,21)), list('snv','');;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};46.3033;0.5382;PRODUCTION/modeles_pack/random_forest/meso_frais/X9.cis.beta.carotene
random_forest;meso_frais;ratio.beta.natif;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.0744;0.4822;PRODUCTION/modeles_pack/random_forest/meso_frais/ratio.beta.natif
random_forest;meso_frais;ratio.alpha.natif;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500};0.0664;0.3855;PRODUCTION/modeles_pack/random_forest/meso_frais/ratio.alpha.natif
random_forest;meso_frais;total.carotene;dat_mean_Meso_frais_2425.csv;list('adj',''), list('snv',''), list('sder',c(1,3,5));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};377.9219;0.4232;PRODUCTION/modeles_pack/random_forest/meso_frais/total.carotene
random_forest;meso_frais;C14.0;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,15));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500};0.2667;0.4928;PRODUCTION/modeles_pack/random_forest/meso_frais/C14.0
random_forest;meso_frais;total.beta.carotene;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1200,1)), list('snv',''), list('sder',c(2,3,15));;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};231.1849;0.6926;PRODUCTION/modeles_pack/random_forest/meso_frais/total.beta.carotene
random_forest;meso_frais;C18.1n7;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200};0.4936;0.2084;PRODUCTION/modeles_pack/random_forest/meso_frais/C18.1n7
random_forest;meso_frais;trans.alpha.carotene;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200};228.9628;0.6416;PRODUCTION/modeles_pack/random_forest/meso_frais/trans.alpha.carotene
random_forest;meso_frais;C18.3;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.0852;0.0316;PRODUCTION/modeles_pack/random_forest/meso_frais/C18.3
