Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;876943;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(2,3,15));0.7098;34.4902;0.3031;35.1989;1.2184
2;672781;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(2,3,15));0.7382;31.1751;0.5628;39.8244;1.5383
3;561814;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,21));0.7214;33.6134;0.4907;32.8848;1.4252
4;681255;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(2,3,15));0.676;34.0266;0.7529;30.6541;2.046
5;697525;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,15));0.725;32.4433;0.7097;30.204;1.8879
6;448508;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,15));0.6244;35.4738;0.7714;34.4079;2.1272
7;193692;list('adj',''), list('red',c(1,1300,1));0.6979;34.7352;0.0606;46.3093;1.0494
8;147496;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(2,3,15));0.6956;32.9538;0.8518;25.2029;2.6421
9;16935;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(2,3,15));0.7027;33.3418;0.7789;27.9651;2.1633
10;302934;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(2,3,15));0.6623;34.877;0.8115;27.7731;2.3424
