"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"tlip.MS";2,5936;2,9394;NA
"random_forest";"tlip.MS";3,2231;3,3037;NA
"xgboost";"tlip.MS";3,395;2,8801;NA
