Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;683647;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.8015;326.3505;0.6093;477.0216;1.6273
2;564588;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.7554;379.3801;0.6927;348.9864;1.8348
3;668230;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1,3,15));0.7659;349.8664;0.5418;543.9787;1.5025
4;465802;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.7295;362.2319;0.7471;444.4568;2.0223
5;585625;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.811;333.5204;0.4312;464.647;1.3487
6;282653;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1,3,15));0.757;386.4975;0.5065;349.091;1.4479
7;577861;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','2'), list('sder',c(1,3,15));0.7361;361.0842;0.6847;487.0436;1.8115
8;702469;list('adj',''), list('red',c(1,1200,1)), list('snv',''), list('sder',c(2,3,15));0.7485;372.3881;0.7317;380.0468;1.9637
9;834786;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.7424;382.8479;0.8441;271.3475;2.5759
10;965557;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.7646;356.1722;0.7107;408.8144;1.891
