Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;72117;list('adj',''), list('red',c(950,650,1)), list('snv',''), list('sder',c(2,3,15));0.472;0.8112;0.5486;0.8332;1.5138
2;255795;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.4875;0.8347;0.4185;0.7712;1.3337
3;524459;list('adj',''), list('red',c(950,650,1)), list('snv',''), list('sder',c(2,3,15));0.5245;0.7891;0.547;0.7557;1.5112
4;951324;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.4833;0.8104;0.5387;0.8113;1.4975
5;482305;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.4844;0.8336;0.4524;0.7674;1.3744
6;951563;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.4857;0.8504;0.5438;0.6113;1.5059
7;905570;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.4632;0.8129;0.5232;0.8697;1.4729
8;84915;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.4589;0.8245;0.4466;0.8985;1.3672
9;21045;list('adj',''), list('red',c(950,650,1)), list('snv',''), list('sder',c(2,3,15));0.5286;0.747;0.3824;1.0418;1.2943
10;793584;list('adj',''), list('red',c(950,650,1)), list('snv',''), list('sder',c(2,3,15));0.5381;0.7785;0.2794;0.893;1.1982
