"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"total.trans.carotene.natif";0,6923;0,7423;0,812
"random_forest";"total.trans.carotene.natif";0,809;0,8235;0,8773
"xgboost";"total.trans.carotene.natif";0,7784;0,7902;0,835
