Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;4;0.3;10.0
2;100;2;2;sqrt;10.0
3;300;2;2;sqrt;20.0
4;500;5;4;sqrt;
5;300;10;1;sqrt;20.0
6;100;10;1;log2;10.0
7;200;10;2;log2;
8;300;2;4;sqrt;
9;200;2;1;log2;20.0
10;500;2;4;log2;20.0
11;100;2;4;0.3;
12;500;10;2;log2;10.0
13;100;10;4;0.3;20.0
14;500;5;1;0.3;20.0
15;200;2;4;sqrt;10.0
16;200;10;1;sqrt;
17;300;2;4;sqrt;10.0
18;100;5;4;log2;10.0
19;200;5;4;0.3;
20;500;5;1;log2;10.0
21;100;2;4;0.3;10.0
22;200;2;2;sqrt;10.0
23;300;10;2;sqrt;
24;100;2;4;sqrt;20.0
25;200;10;4;log2;10.0
26;100;10;1;0.3;
27;200;10;2;log2;10.0
28;100;2;2;log2;20.0
29;200;5;1;0.3;10.0
30;100;2;1;0.3;10.0
