Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;487619;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(1,3,21));0.4813;3.9105;0.495;4.0678;1.4312
2;624201;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.5078;3.8454;0.6912;3.0549;1.8304
3;450033;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.564;3.6176;0.426;4.1699;1.3424
4;202019;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.5546;3.7359;0.5949;3.1572;1.5981
5;951019;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.4848;3.8871;0.6237;3.4785;1.658
6;798151;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.5721;3.6095;0.4196;4.0255;1.3351
7;420144;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,15));0.5172;3.9451;0.2872;3.7956;1.2047
8;165281;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,21));0.3995;3.9609;0.4821;4.3744;1.4133
9;240176;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.6029;3.4293;0.2219;4.8655;1.153
10;120137;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.509;3.7172;0.6438;3.6927;1.7042
