Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;1;sqrt;20.0
2;200;2;1;0.3;10.0
3;500;5;4;sqrt;
4;500;5;2;log2;20.0
5;500;10;1;0.3;20.0
6;300;5;2;sqrt;
7;300;2;1;sqrt;10.0
8;200;10;1;sqrt;10.0
9;100;2;1;sqrt;10.0
10;300;10;1;sqrt;
11;100;5;1;log2;10.0
12;100;5;1;sqrt;10.0
13;300;5;2;0.3;10.0
14;500;10;1;0.3;
15;300;10;1;log2;20.0
16;500;2;4;0.3;10.0
17;200;5;1;sqrt;10.0
18;500;5;4;log2;20.0
19;500;10;2;sqrt;10.0
20;100;10;2;log2;10.0
21;300;10;2;0.3;20.0
22;200;2;1;0.3;
23;100;10;2;log2;
24;300;2;1;log2;10.0
25;100;10;1;0.3;20.0
26;500;2;1;log2;
27;100;5;4;sqrt;20.0
28;300;10;4;sqrt;10.0
29;100;2;2;log2;20.0
30;100;10;2;0.3;20.0
