Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;1;sqrt;
2;500;5;4;0.3;20.0
3;200;10;1;sqrt;20.0
4;300;2;1;0.3;20.0
5;100;5;4;log2;20.0
6;200;2;4;sqrt;20.0
7;200;2;1;0.3;20.0
8;300;5;4;log2;20.0
9;200;10;4;0.3;20.0
10;100;2;1;log2;
11;100;5;2;sqrt;
12;100;5;2;log2;
13;500;10;1;log2;10.0
14;100;5;2;0.3;20.0
15;300;5;2;sqrt;
16;300;2;2;0.3;20.0
17;100;2;1;sqrt;20.0
18;200;5;4;log2;10.0
19;200;5;1;0.3;20.0
20;100;10;2;sqrt;20.0
21;200;5;4;sqrt;
22;100;5;1;0.3;10.0
23;100;10;2;log2;
24;300;5;2;log2;20.0
25;500;10;2;sqrt;
26;200;10;4;log2;
27;100;10;1;sqrt;20.0
28;500;5;1;log2;10.0
29;100;10;2;0.3;
30;200;5;1;log2;
