"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"C18.1n7";0,5986;0,5736;NA
"random_forest";"C18.1n7";0,5908;0,6711;NA
"xgboost";"C18.1n7";0,5894;0,639;NA
