Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;2;log2;10.0
2;200;10;2;sqrt;20.0
3;500;2;4;0.3;
4;300;2;2;0.3;
5;500;5;4;sqrt;
6;200;10;4;log2;
7;200;10;4;log2;10.0
8;100;5;1;0.3;20.0
9;100;5;1;sqrt;20.0
10;200;5;2;log2;20.0
11;100;10;4;0.3;10.0
12;100;2;1;sqrt;20.0
13;200;5;4;log2;20.0
14;200;5;2;0.3;10.0
15;100;10;1;0.3;10.0
16;500;2;2;log2;20.0
17;200;10;1;log2;
18;300;2;2;sqrt;
19;100;10;1;sqrt;10.0
20;500;5;2;log2;20.0
21;500;5;2;0.3;
22;500;2;1;0.3;
23;100;2;4;sqrt;
24;200;10;1;log2;20.0
25;500;2;1;sqrt;10.0
26;500;5;1;log2;10.0
27;200;5;1;0.3;10.0
28;500;10;1;sqrt;10.0
29;100;10;1;log2;
30;300;10;2;sqrt;
