Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;1;log2;20.0
2;500;2;4;sqrt;10.0
3;300;5;4;log2;10.0
4;100;10;1;log2;20.0
5;200;10;1;log2;10.0
6;500;10;1;0.3;
7;100;10;2;sqrt;20.0
8;200;5;1;sqrt;10.0
9;300;10;4;log2;
10;100;10;4;0.3;
11;300;10;4;0.3;
12;100;2;4;log2;10.0
13;200;10;2;0.3;10.0
14;100;5;2;0.3;10.0
15;300;2;2;sqrt;
16;200;10;2;sqrt;10.0
17;100;10;1;0.3;10.0
18;200;10;1;sqrt;
19;200;5;2;log2;
20;100;2;1;sqrt;10.0
21;200;5;1;sqrt;
22;200;2;2;0.3;10.0
23;100;2;1;0.3;20.0
24;500;2;2;sqrt;20.0
25;100;5;2;log2;10.0
26;100;2;1;log2;
27;100;10;4;0.3;20.0
28;200;2;4;log2;
29;300;2;4;sqrt;
30;100;5;2;sqrt;10.0
